iter	Passed	Remaining
475	698	769
476	700	767
477	701	765
478	704	766
479	706	764
480	707	763
481	708	761
482	710	760
483	711	758
484	712	756
485	713	754
486	716	754
487	718	753
488	720	752
489	722	751
490	723	750
491	724	748
492	725	746
493	726	744
494	727	742
495	728	740
496	730	739
497	731	737
498	733	736
499	734	734
500	735	732
501	736	730
502	737	728
503	738	726
504	739	724
505	740	722
506	741	720
507	741	718
508	742	716
509	743	714
510	745	713
511	746	711
512	748	710
513	749	708
514	750	706
515	751	704
516	752	702
517	753	701
518	754	699
519	755	697
520	756	695
521	757	693
522	758	691
523	759	690
524	761	688
525	762	687
526	763	685
527	764	683
528	765	681
529	766	680
530	767	678
531	768	676
532	769	674
533	770	672
534	771	670
535	772	668
536	773	666
537	775	666
538	776	664
539	777	662
540	778	660
541	779	658
542	780	656
543	781	654
544	782	653
545	783	651
546	784	649
547	785	647
548	786	645
549	787	644
550	788	642
551	789	640
552	791	639
553	792	637
554	793	636
555	794	634
556	795	632
557	796	630
558	797	628
559	798	627
560	799	625
561	800	623
562	801	621
563	802	620
564	803	618
565	804	616
566	805	615
567	807	613
568	808	612
569	809	610
570	810	608
571	811	607
572	812	605
573	813	603
574	814	602
575	815	600
576	817	598
577	818	597
578	819	595
579	821	594
580	822	593
581	823	591
582	824	589
583	825	587
584	826	585
585	827	584
586	828	582
587	829	581
588	830	579
589	831	577
590	832	576
591	833	574
592	834	573
593	836	571
594	837	570
595	838	568
596	839	566
597	840	564
598	841	563
599	842	561
600	842	559
601	843	557
602	844	556
603	845	554
604	846	552
605	847	551
606	849	549
607	850	548
608	851	546
609	852	545
610	853	543
611	854	541
612	855	539
613	856	538
614	857	536
615	858	535
616	859	533
617	860	531
618	861	530
619	862	528
620	863	526
621	865	525
622	866	524
623	867	522
624	869	521
625	870	519
626	871	518
627	872	516
628	873	515
629	874	513
630	876	512
631	877	510
632	878	509
633	879	507
634	880	506
635	882	504
636	882	503
637	884	501
638	885	500
639	885	498
640	887	496
641	888	495
642	889	493
643	890	492
644	891	490
645	893	489
646	894	488
647	896	486
648	897	485
649	899	484
650	901	483
651	902	481
652	903	480
653	905	479
654	906	477
655	907	476
656	909	474
657	910	473
658	912	471
659	913	470
660	914	468
661	915	467
662	916	465
663	917	464
664	918	462
665	920	461
666	921	459
667	922	458
668	925	457
669	926	456
670	927	454
671	928	453
672	930	452
673	931	450
674	932	449
675	934	447
676	935	446
677	936	444
678	937	443
679	938	441
680	941	440
681	942	439
682	944	438
683	946	437
684	947	435
685	948	434
686	950	433
687	951	431
688	953	430
689	955	429
690	958	428
691	960	427
692	961	426
693	963	424
694	964	423
695	966	422
696	967	420
697	969	419
698	971	418
699	972	416
700	974	415
701	976	414
702	977	413
703	979	411
704	980	410
705	985	410
706	987	409
707	988	407
708	990	406
709	993	405
710	994	404
711	1002	405
712	1004	404
713	1005	402
714	1007	401
715	1008	400
716	1010	398
717	1011	397
718	1015	396
719	1021	397
720	1023	396
721	1025	394
722	1026	393
723	1033	394
724	1035	392
725	1039	392
726	1042	391
727	1044	390
728	1047	389
729	1049	388
730	1053	387
731	1055	386
732	1058	385
733	1060	384
734	1062	383
735	1064	381
736	1065	380
737	1067	378
738	1068	377
739	1069	375
740	1070	374
741	1072	373
742	1075	371
743	1076	370
744	1077	368
745	1079	367
746	1082	366
747	1084	365
748	1085	363
749	1089	363
750	1091	361
751	1092	360
752	1093	358
753	1094	357
754	1095	355
755	1097	354
756	1098	352
757	1099	351
758	1101	349
759	1102	348
760	1104	346
761	1105	345
762	1107	344
763	1109	342
764	1111	341
765	1112	339
766	1115	338
767	1116	337
768	1121	336
769	1122	335
770	1124	333
771	1125	332
772	1127	331
773	1128	329
774	1129	328
775	1131	326
776	1132	324
777	1134	323
778	1136	322
779	1137	320
780	1138	319
781	1140	317
782	1141	316
783	1142	314
784	1143	313
785	1144	311
786	1146	310
787	1147	308
788	1150	307
789	1152	306
790	1154	304
791	1155	303
792	1156	301
793	1157	300
794	1158	298
795	1160	297
796	1163	296
797	1164	294
798	1165	293
799	1167	291
800	1168	290
801	1169	288
802	1170	287
803	1171	285
804	1172	284
805	1173	282
806	1175	281
807	1177	279
808	1178	278
809	1179	276
810	1181	275
811	1183	273
812	1184	272
813	1185	270
814	1186	269
815	1187	267
816	1188	266
817	1189	264
818	1190	263
819	1191	261
820	1193	260
821	1194	258
822	1195	257
823	1196	255
824	1198	254
825	1199	252
826	1200	251
827	1201	249
828	1202	248
829	1203	246
830	1204	245
831	1206	243
832	1207	242
833	1209	240
834	1210	239
835	1211	237
836	1212	236
837	1214	234
838	1215	233
839	1216	231
840	1216	230
841	1218	228
842	1219	227
843	1220	225
844	1222	224
845	1223	222
846	1224	221
847	1225	219
848	1226	218
849	1227	216
850	1228	215
851	1229	213
852	1230	212
853	1231	210
854	1232	209
855	1233	207
856	1234	206
857	1236	204
858	1237	203
859	1238	201
860	1239	200
861	1240	198
862	1241	197
863	1242	195
864	1244	194
865	1245	192
866	1245	191
867	1246	189
868	1247	188
869	1249	186
870	1250	185
871	1251	183
872	1252	182
873	1253	180
874	1254	179
875	1256	177
876	1257	176
877	1258	174
878	1259	173
879	1260	171
880	1262	170
881	1263	169
882	1265	167
883	1267	166
884	1268	164
885	1271	163
886	1273	162
887	1274	160
888	1276	159
889	1277	157
890	1278	156
891	1280	154
892	1281	153
893	1282	152
894	1283	150
895	1284	149
896	1286	147
897	1287	146
898	1288	144
899	1289	143
900	1290	141
901	1291	140
902	1292	138
903	1293	137
904	1294	135
905	1296	134
906	1297	133
907	1298	131
908	1299	130
909	1300	128
910	1301	127
911	1302	125
912	1303	124
913	1304	122
914	1305	121
915	1306	119
916	1307	118
917	1309	116
918	1311	115
919	1312	114
920	1313	112
921	1314	111
922	1315	109
923	1316	108
924	1317	106
925	1318	105
926	1319	103
927	1320	102
928	1321	100
929	1322	99
930	1323	98
931	1324	96
932	1326	95
933	1327	93
934	1328	92
935	1329	90
936	1330	89
937	1331	88
938	1332	86
939	1333	85
940	1334	83
941	1335	82
942	1337	80
943	1338	79
944	1339	77
945	1341	76
946	1342	75
947	1343	73
948	1344	72
949	1345	70
950	1346	69
951	1347	67
952	1348	66
953	1349	65
954	1350	63
955	1351	62
956	1352	60
957	1353	59
958	1354	57
959	1356	56
960	1357	55
961	1358	53
962	1359	52
963	1360	50
964	1361	49
965	1362	47
966	1363	46
967	1364	45
968	1365	43
969	1366	42
970	1367	40
971	1369	39
972	1371	38
973	1372	36
974	1373	35
975	1374	33
976	1375	32
977	1376	30
978	1377	29
979	1378	28
980	1379	26
981	1380	25
982	1381	23
983	1382	22
984	1383	21
985	1384	19
986	1386	18
987	1387	16
988	1388	15
989	1389	14
990	1390	12
991	1391	11
992	1392	9
993	1393	8
994	1394	7
995	1395	5
996	1396	4
997	1397	2
998	1399	1
999	1401	0
